Tokens válidos:
program, -1, -1, 1
nombre?, -51, -2, 1
;, -75, -1, 1
var, -15, -1, 2
int, -11, -1, 3
:, -77, -1, 3
uno&, -51, -2, 3
,, -76, -1, 3
dos&, -51, -2, 3
;, -75, -1, 3
real, -12, -1, 4
:, -77, -1, 4
tres%, -51, -2, 4
;, -75, -1, 4
string, -13, -1, 5
:, -77, -1, 5
cuatro#, -51, -2, 5
;, -75, -1, 5
bool, -14, -1, 6
:, -77, -1, 6
cinco$, -51, -2, 6
;, -75, -1, 6
begin, -2, -1, 7
uno&, -51, -2, 8
:=, -26, -1, 8
10, -61, -1, 8
+, -24, -1, 8
(, -73, -1, 8
39, -61, -1, 8
*, -21, -1, 8
dos&, -51, -2, 8
), -74, -1, 8
;, -75, -1, 8
cinco$, -51, -2, 9
:=, -26, -1, 9
(, -73, -1, 9
uno&, -51, -2, 9
<=, -32, -1, 9
10, -61, -1, 9
), -74, -1, 9
;, -75, -1, 9
if, -6, -1, 10
(, -73, -1, 10
uno&, -51, -2, 10
10, -61, -1, 10
), -74, -1, 10
then, -16, -1, 10
write, -5, -1, 11
"Uno es mayor que 10", -63, -1, 11
;, -75, -1, 11
else, -7, -1, 12
write, -5, -1, 13
"Uno no es mayor que 10", -63, -1, 13
;, -75, -1, 13
end, -3, -1, 14
while, -8, -1, 15
(, -73, -1, 15
dos&, -51, -2, 15
5, -61, -1, 15
), -74, -1, 15
do, -17, -1, 15
write, -5, -1, 16
"Dos es mayor que 5", -63, -1, 16
;, -75, -1, 16
end, -3, -1, 17
end, -3, -1, 18

Tokens no válidos:
